completed_at,pair,interval,variant,family,candles_loaded,total_return_pct,rank_score,rank_grade,final_equity,trade_count,win_rate_pct,profit_factor,max_drawdown_pct,fees_paid,maker_fee_rate,taker_fee_rate,fee_gst_rate,maker_fee_effective_rate,taker_fee_effective_rate,entry_fee_type,exit_fee_type,leverage,risk_per_trade_pct,compound_risk_equity,stop_loss_pct,take_profit_pct,stop_slippage_pct,funding_fee_rate,funding_interval_hours,funding_paid,ambiguous_exit_count,gap_exit_count,trailing_stop_enabled,trailing_profile,trailing_stop_activation_pct,trailing_stop_distance_pct,atr_dynamic_exits_enabled,atr_period,atr_stop_multiple,atr_take_profit_multiple,atr_take_profit_mode,accepted_reports,rejected_reports,enter_long,enter_short,exit_long,exit_short,hold,error
2026-05-18T04:30:44.383021+05:30,B-BSB_USDT,5m,hybrid_meta,hybrid_meta,1000,4.156218440078230607683978900,4.018577170948614359067777395,B,1041.562184400782306076839789,17,47.05882352941176470588235294,1.441313923811734180935265827,3.096215293402467688389386527,7.191479537927774947804540153,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,34,983,17,0,17,0,983,
2026-05-18T04:31:02.553523+05:30,B-BSB_USDT,15m,hybrid_meta,hybrid_meta,1000,8.464023711176580209691139400,5.053354108047035912254055523,A,1084.640237111765802096911394,27,48.14814814814814814814814815,1.597900780843690568004869944,6.365176931853540346757459012,6.707761689725531887050537539,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,54,973,27,0,27,0,973,
2026-05-18T04:31:20.890712+05:30,B-BSB_USDT,30m,hybrid_meta,hybrid_meta,1000,10.74967727716081019434238050,10.65669454176084685410305286,A,1107.496772771608101943423805,25,52.00,1.895152978787097192241842344,4.106630954379326179778409862,3.779938340290472158720265001,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,50,975,25,0,25,0,975,
2026-05-18T04:31:38.884213+05:30,B-BSB_USDT,1h,hybrid_meta,hybrid_meta,1000,4.827059100568280209099454600,0.170379895147588186949660809,B,1048.270591005682802090994546,53,39.62264150943396226415094340,1.150810042145459458659058969,7.566639431769288751574329383,6.283520090296251641702291133,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,1,0,False,off,0,0,False,14,1.5,3,fixed,106,947,53,0,53,0,947,
2026-05-18T04:31:40.727027+05:30,B-BSB_USDT,4h,hybrid_meta,hybrid_meta,280,0.349616236365336359468768700,-2.474864287406876098892332518,watchlist,1003.496162363653363594687687,17,35.29411764705882352941176471,1.034216042593738130223492771,4.594330087167750975046469408,0.9874299087350611706115265365,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,34,263,17,0,17,0,263,
2026-05-18T04:31:58.771593+05:30,B-SAGA_USDT,5m,hybrid_meta,hybrid_meta,1000,-5.811355028419996476979049450,-14.18283300343000866914170516,reject,941.8864497158000352302095055,8,12.500,0.2254257988676959643746794076,7.377863658196323296729611623,3.939087444561887934667277301,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,1,0,False,off,0,0,False,14,1.5,3,fixed,16,992,8,0,8,0,992,
2026-05-18T04:32:16.607597+05:30,B-SAGA_USDT,15m,hybrid_meta,hybrid_meta,1000,13.31002251610660175445539890,13.30405308436836970031682829,A,1133.100225161066017544553989,30,53.33333333333333333333333333,1.913857948686429667034764730,4.266948263288873110566480058,7.871302715769309242804541536,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,60,970,30,0,30,0,970,
2026-05-18T04:32:34.753976+05:30,B-SAGA_USDT,30m,hybrid_meta,hybrid_meta,1000,11.95287569845754051697940550,11.07710847812736325057009613,A,1119.528756984575405169794055,26,53.84615384615384615384615385,1.960084460595747943174194003,4.876748913217338522206157904,7.487007260284909985941884205,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,52,974,26,0,26,0,974,
2026-05-18T04:32:52.872048+05:30,B-SAGA_USDT,1h,hybrid_meta,hybrid_meta,1000,1.86987203227399046514086200,-8.009089678503614240233384914,B,1018.698720322739904651408620,25,40.0,1.119297339893824071875299453,10.69404511245220227929987666,6.176778252690428696675369554,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,50,975,25,0,25,0,975,
2026-05-18T04:33:10.777560+05:30,B-SAGA_USDT,4h,hybrid_meta,hybrid_meta,1000,-1.895471004791034696289860360,-8.524142375342281401086548979,reject,981.0452899520896530371013964,21,33.33333333333333333333333333,0.8661855135822608487785896304,7.528833918172614721883094301,3.198959960416398970684593734,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,1,0,False,off,0,0,False,14,1.5,3,fixed,42,979,21,0,21,0,979,
